id,slug,name,kind,body_type,role,office,jurisdiction,country,term_start,term_end,official_url,wikidata_qid,unknowns,pub_state,published_at,reviewed_on,next_review_on,revision,created_at,updated_at
1,donald-trump,Donald Trump,person,,President of the United States,,US,US,,,,,,published,2026-09-22T19:59:56Z,2026-09-22,2026-12-22,9,2026-09-22T19:59:55Z,2026-09-22T21:25:38Z
2,white-house-press-office,White House Press Office,body,executive_office,Office of the White House Press Secretary,,US,US,,,,,,published,2026-09-22T19:59:57Z,2026-09-22,2026-12-22,9,2026-09-22T19:59:56Z,2026-09-22T21:25:40Z
3,white-house-correspondents-association,White House Correspondents' Association,body,other,Professional association of accredited White House reporters,,US,US,,,,,,published,2026-09-22T19:59:59Z,2026-09-22,2026-12-22,9,2026-09-22T19:59:58Z,2026-09-22T21:25:41Z
4,jacqui-heinrich,Jacqui Heinrich,person,,"President, White House Correspondents' Association (2026)",,US,US,,,,,,published,2026-09-22T20:00:01Z,2026-09-22,2026-12-22,9,2026-09-22T20:00:00Z,2026-09-22T21:25:43Z
5,eugene-daniels,Eugene Daniels,person,,"President, White House Correspondents' Association (2025)",,US,US,,,,,,published,2026-09-22T20:00:06Z,2026-09-22,2026-12-22,9,2026-09-22T20:00:05Z,2026-09-22T21:25:44Z
6,taylor-budowich,Taylor Budowich,person,,White House Deputy Chief of Staff for Communications,,US,US,,,,,,published,2026-09-22T20:00:08Z,2026-09-22,2026-12-22,9,2026-09-22T20:00:07Z,2026-09-22T21:25:45Z
7,trevor-mcfadden,Trevor N. McFadden,body,court,"Judge, U.S. District Court for the District of Columbia",,US,US,,,,,,published,2026-09-22T20:00:09Z,2026-09-22,2026-12-22,8,2026-09-22T20:00:08Z,2026-09-22T21:25:47Z
8,timothy-j-kelly,Timothy J. Kelly,body,court,"Judge, U.S. District Court for the District of Columbia",,US,US,,,,,,published,2026-09-22T20:00:11Z,2026-09-22,2026-12-22,8,2026-09-22T20:00:10Z,2026-09-22T21:25:48Z
9,cornelia-pillard,Cornelia Pillard,body,court,"Judge, U.S. Court of Appeals for the D.C. Circuit",,US,US,,,,,,published,2026-09-22T20:00:13Z,2026-09-22,2026-12-22,8,2026-09-22T20:00:12Z,2026-09-22T21:25:50Z
10,gregory-katsas,Gregory G. Katsas,body,court,"Judge, U.S. Court of Appeals for the D.C. Circuit",,US,US,,,,,,published,2026-09-22T20:00:14Z,2026-09-22,2026-12-22,8,2026-09-22T20:00:14Z,2026-09-22T21:25:51Z
11,neomi-rao,Neomi Rao,body,court,"Judge, U.S. Court of Appeals for the D.C. Circuit",,US,US,,,,,,published,2026-09-22T20:00:16Z,2026-09-22,2026-12-22,8,2026-09-22T20:00:15Z,2026-09-22T21:25:53Z
12,pete-hegseth,Pete Hegseth,person,,United States Secretary of Defense,,US,US,,,,,,published,2026-09-22T20:00:18Z,2026-09-22,2026-12-22,8,2026-09-22T20:00:17Z,2026-09-22T21:25:55Z
13,us-department-of-defense,United States Department of Defense,body,agency,Federal executive department,,US,US,,,,,,published,2026-09-22T20:00:19Z,2026-09-22,2026-12-22,8,2026-09-22T20:00:19Z,2026-09-22T21:25:56Z
14,brendan-carr,Brendan Carr,person,,"Chair, Federal Communications Commission",,US,US,,,,,,published,2026-09-22T20:00:21Z,2026-09-22,2026-12-22,8,2026-09-22T20:00:20Z,2026-09-22T21:25:58Z
15,federal-communications-commission,Federal Communications Commission,body,agency,Independent federal regulatory agency,,US,US,,,,,,published,2026-09-22T20:00:22Z,2026-09-22,2026-12-22,8,2026-09-22T20:00:22Z,2026-09-22T21:25:59Z
