explainer_id,source_id,sort
1,139,0
1,492,1
1,493,2
1,494,3
1,495,4
1,496,5
1,497,6
2,48,4
2,71,2
2,72,1
2,498,0
2,499,3
2,500,5
3,1,6
3,20,5
3,75,1
3,104,3
3,111,4
3,278,7
3,500,8
3,501,0
3,502,2
4,1,8
4,4,9
4,31,13
4,48,6
4,72,1
4,104,11
4,110,5
4,281,7
4,499,4
4,501,0
4,502,10
4,503,2
4,504,3
4,505,12
5,27,18
5,43,5
5,45,19
5,92,0
5,100,4
5,152,1
5,153,2
5,154,3
5,156,22
5,203,16
5,205,10
5,206,11
5,207,14
5,208,15
5,209,7
5,210,6
5,211,13
5,212,12
5,215,8
5,216,9
5,261,17
5,262,23
5,506,20
5,507,21
6,1,8
6,100,7
6,139,1
6,140,4
6,492,0
6,502,9
6,506,3
6,507,5
6,508,2
6,509,6
6,510,10
6,511,11
7,1,5
7,3,9
7,4,6
7,10,8
7,13,7
7,15,10
7,26,1
7,72,0
7,74,2
7,104,15
7,495,13
7,496,11
7,499,4
7,500,3
7,502,12
7,507,14
8,52,2
8,140,4
8,327,0
8,506,1
8,508,3
8,509,6
8,512,5
