incident_id,actor_id,role,role_at_time
1,1,announced,
1,2,enforced,
1,3,other,
1,4,other,
2,12,enforced,
2,13,enforced,
3,1,ordered,
3,2,announced,
3,3,other,
3,5,other,
4,14,announced,
4,15,other,
5,1,other,
6,1,ordered,
6,18,enforced,
6,19,enforced,
7,16,ordered,
7,17,enforced,
8,1,other,
8,8,ruled,
9,20,legislated,
10,22,ordered,
11,29,enforced,
12,1,ordered,
12,2,enforced,
12,6,enforced,
13,12,ordered,
13,13,enforced,
14,1,ordered,
14,35,other,
15,20,defended,
15,21,ruled,
16,23,other,
16,24,ordered,
17,17,enforced,
17,25,other,
18,26,other,
18,27,legislated,
19,28,other,
20,30,legislated,
20,31,ordered,
21,32,enforced,
22,33,enforced,
23,34,enforced,
25,40,other,
25,41,enforced,
25,42,ruled,
25,43,enforced,
26,40,other,
26,43,enforced,
27,44,other,
27,45,enforced,
28,46,announced,
28,47,enforced,
29,48,other,
29,49,enforced,
30,23,announced,
30,50,enforced,
30,51,other,
30,52,other,
31,23,enforced,
31,53,other,
32,23,other,
33,54,announced,
33,55,other,
33,56,enforced,
33,57,other,
34,58,enforced,
34,59,other,
34,60,other,
35,61,announced,
35,62,enforced,
36,63,enforced,
37,64,enforced,
37,65,other,
37,66,other,
37,67,other,
38,68,announced,
38,69,enforced,
39,70,announced,
39,71,enforced,
40,72,enforced,
41,73,enforced,
42,74,other,
43,75,announced,
44,76,other,
44,77,announced,
45,78,announced,
46,81,announced,
47,79,other,
47,80,announced,
48,82,announced,
49,83,announced,
49,84,other,
50,85,enforced,
51,86,announced,
51,87,enforced,
52,88,enforced,
52,89,other,
52,90,other,
53,91,announced,
54,92,other,
54,93,enforced,
55,94,ordered,
55,95,enforced,
55,96,enforced,
56,97,ordered,
57,97,other,
57,98,ordered,
57,99,ordered,
57,100,other,
57,101,other,
58,25,other,
58,102,other,
59,25,other,
59,103,other,
59,104,ordered,
59,105,ordered,
60,25,other,
60,106,ordered,
60,107,other,
61,25,other,
61,106,ordered,
61,108,other,
61,109,other,
62,25,other,
62,106,ordered,
62,110,other,
62,111,other,
63,1,ordered,
63,112,enforced,
63,113,other,
64,1,other,
64,114,ordered,
64,115,other,
65,38,ordered,
66,116,ordered,
66,117,other,
66,118,other,
67,119,ordered,
67,120,other,
67,121,other,
68,31,other,
68,122,other,
68,123,other,
69,124,ordered,
70,31,other,
70,125,other,
70,126,other,
71,127,other,
71,128,other,
72,26,ordered,
73,129,ordered,
73,130,other,
74,131,ordered,
74,132,ordered,
74,133,other,
74,134,other,
74,135,other,
75,136,ordered,
75,137,enforced,
76,138,ordered,
77,139,ordered,
78,140,other,
78,141,other,
78,142,other,
79,37,ordered,
80,143,other,
80,144,ordered,
80,145,other,
81,146,ordered,
82,147,other,
82,148,other,
83,149,other,
83,150,other,
83,151,other,
83,152,other,
84,153,ordered,
85,155,other,
85,156,enforced,
86,1,other,
86,159,enforced,
87,1,other,
87,160,enforced,
87,161,ordered,
88,17,enforced,
88,162,other,
88,163,ordered,
89,164,ordered,
89,165,enforced,
90,166,ordered,
90,167,legislated,
91,14,ordered,
91,15,enforced,
92,1,ordered,
92,35,enforced,
93,1,ordered,
94,1,ordered,
95,1,ordered,
96,168,other,
96,169,enforced,
97,1,other,
98,1,ordered,
98,2,enforced,
99,173,announced,
99,174,enforced,
100,14,ordered,
100,15,enforced,
101,1,other,
101,2,enforced,
101,171,enforced,
101,172,announced,
102,14,other,
102,15,other,
103,157,other,
103,158,enforced,
104,17,ordered,
104,162,other,
104,176,enforced,
105,1,other,
105,175,enforced,
106,26,ordered,
106,27,legislated,
107,179,ordered,
107,180,enforced,
108,181,other,
108,182,enforced,
109,30,legislated,
109,31,ordered,
110,37,other,
110,183,enforced,
111,37,other,
111,184,enforced,
112,185,other,
112,186,enforced,
113,187,ordered,
113,188,enforced,
114,189,ordered,
114,190,legislated,
115,191,ordered,
115,192,legislated,
116,39,other,
116,193,ruled,
117,194,ordered,
118,195,other,
118,196,enforced,
119,197,other,
119,198,ordered,
120,199,ordered,
120,200,legislated,
121,201,other,
122,146,ordered,
122,202,enforced,
123,38,other,
123,203,enforced,
124,204,ordered,
125,205,other,
125,206,enforced,
126,177,enforced,
126,178,other,
127,147,other,
127,207,enforced,
128,208,ordered,
128,209,enforced,
129,210,ordered,
129,211,legislated,
130,26,other,
130,232,enforced,
131,31,ordered,
132,208,other,
132,220,ordered,
133,181,other,
133,212,ordered,
134,221,other,
134,227,enforced,
134,239,ordered,
135,38,ordered,
136,124,other,
137,229,other,
138,208,ordered,
139,31,other,
139,216,other,
140,214,other,
141,224,ordered,
142,124,other,
143,26,other,
144,138,ordered,
145,213,other,
145,223,ordered,
146,38,other,
147,132,other,
148,31,other,
149,218,other,
150,208,other,
151,231,ordered,
152,38,other,
153,243,other,
154,31,other,
155,181,other,
155,217,other,
156,26,other,
157,241,other,
158,143,other,
159,26,other,
159,230,other,
160,26,other,
161,233,other,
161,238,other,
162,38,other,
162,235,other,
163,38,other,
163,215,other,
164,197,other,
164,198,other,
165,38,other,
166,37,other,
167,179,other,
168,197,other,
169,31,other,
169,240,other,
170,222,other,
171,37,other,
172,208,other,
173,181,other,
174,31,other,
175,239,other,
176,226,other,
177,239,other,
178,38,other,
179,31,other,
180,228,other,
181,229,other,
182,236,other,
183,237,other,
184,219,other,
185,31,other,
186,187,other,
187,225,other,
188,31,other,
189,31,other,
190,132,other,
190,242,other,
191,181,other,
191,234,other,
