incident_id,journalist_id,outlet_id_at_time,relation
1,1,,affected
1,2,,affected
1,3,,affected
8,4,,affected
19,7,,affected
22,5,,affected
23,6,,affected
85,8,,affected
85,9,,affected
85,10,,affected
89,16,,affected
89,17,,affected
96,14,,affected
97,15,,affected
103,11,,affected
104,12,,affected
105,13,,affected
112,18,,affected
113,22,,affected
116,19,,affected
116,20,,affected
127,21,,affected
130,54,,affected
130,63,,affected
132,39,,affected
132,53,,affected
132,68,,affected
134,58,,affected
134,69,,affected
135,34,,affected
135,48,,affected
135,60,,affected
140,5,,affected
140,40,,affected
140,71,,affected
143,29,,affected
144,27,,affected
145,26,,affected
147,64,,affected
148,50,,affected
149,45,,affected
149,62,,affected
150,44,,affected
151,46,,affected
151,56,,affected
152,72,,affected
153,51,,affected
153,75,,affected
154,57,,affected
155,30,,affected
156,77,,affected
157,49,,affected
157,66,,affected
158,52,,affected
158,65,,affected
160,76,,affected
162,38,,affected
162,73,,affected
164,74,,affected
164,78,,affected
165,31,,affected
166,23,,affected
167,32,,affected
168,59,,affected
170,61,,affected
172,79,,affected
173,28,,affected
173,30,,affected
174,25,,affected
174,47,,affected
175,58,,affected
176,42,,affected
177,58,,affected
177,70,,affected
178,72,,affected
180,41,,affected
181,33,,affected
181,43,,affected
183,67,,affected
184,36,,affected
184,37,,affected
186,35,,affected
187,55,,affected
191,24,,affected
