incident_id,outlet_id,relation
1,1,affected
1,2,affected
1,3,affected
2,4,affected
2,9,affected
2,10,affected
2,11,affected
4,9,affected
5,10,affected
6,8,affected
8,1,affected
12,4,affected
13,11,affected
14,6,affected
14,7,affected
19,17,affected
21,12,affected
22,13,affected
22,14,affected
23,16,affected
25,19,affected
26,20,affected
29,21,affected
30,22,affected
31,21,affected
31,22,affected
34,25,affected
36,30,affected
36,31,affected
37,23,affected
37,24,affected
46,28,affected
49,26,affected
49,27,affected
50,29,affected
54,32,affected
55,10,affected
55,15,affected
57,33,affected
58,33,affected
58,34,affected
58,39,affected
60,4,affected
61,35,affected
62,33,affected
63,1,affected
64,34,affected
67,43,affected
68,41,affected
70,42,affected
74,36,affected
76,40,affected
78,37,affected
80,44,affected
82,38,affected
83,39,affected
85,1,affected
88,10,affected
88,33,affected
89,45,affected
91,10,affected
91,46,affected
92,6,affected
92,7,affected
93,5,affected
94,47,affected
95,33,affected
96,48,affected
97,10,affected
98,4,affected
98,37,affected
100,10,affected
104,49,affected
105,50,affected
108,51,affected
109,16,affected
109,42,affected
110,16,affected
112,52,affected
113,53,affected
114,54,affected
116,55,affected
117,56,affected
118,58,affected
119,57,affected
128,5,affected
128,33,affected
