incident_id,tactic_slug,is_primary
1,access_ban,1
1,credential_control,0
2,access_ban,0
2,credential_control,1
3,access_ban,1
3,credential_control,0
4,funding_and_ownership_pressure,1
4,outlet_licensing,0
5,lawsuits_against_press,1
6,funding_and_ownership_pressure,1
7,surveillance_and_subpoenas,1
8,access_ban,0
8,credential_control,1
9,access_ban,1
10,access_ban,1
11,access_ban,1
11,expulsion_and_visa_denial,0
12,access_ban,1
13,access_ban,0
13,credential_control,1
13,prior_restraint,0
14,funding_and_ownership_pressure,1
15,access_ban,1
16,surveillance_and_subpoenas,1
17,secrets_and_espionage_laws,1
17,surveillance_and_subpoenas,0
18,disinformation_labeling,1
18,funding_and_ownership_pressure,0
19,detention_and_violence,0
19,insult_and_defamation_laws,1
20,disinformation_labeling,1
20,funding_and_ownership_pressure,0
21,funding_and_ownership_pressure,1
22,detention_and_violence,1
22,outlet_licensing,0
22,secrets_and_espionage_laws,0
23,detention_and_violence,1
23,expulsion_and_visa_denial,0
