id,slug,name,kind,country,homepage_url,wikidata_qid,unknowns,pub_state,published_at,reviewed_on,next_review_on,revision,created_at,updated_at
1,cnn,CNN,broadcaster,US,https://www.cnn.com/,,,published,2026-09-22T19:59:28Z,2026-09-22,2026-12-22,9,2026-09-22T19:59:27Z,2026-09-22T21:25:09Z
2,ms-now,MS NOW,broadcaster,US,https://www.msnow.com/,,,published,2026-09-22T19:59:29Z,2026-09-22,2026-12-22,9,2026-09-22T19:59:28Z,2026-09-22T21:25:11Z
3,politico,Politico,digital,US,https://www.politico.com/,,,published,2026-09-22T19:59:31Z,2026-09-22,2026-12-22,9,2026-09-22T19:59:30Z,2026-09-22T21:25:12Z
4,associated-press,The Associated Press,wire_service,US,https://apnews.com/,,,published,2026-09-22T19:59:33Z,2026-09-22,2026-12-22,12,2026-09-22T19:59:32Z,2026-09-23T01:26:05Z
5,wall-street-journal,The Wall Street Journal,newspaper,US,https://www.wsj.com/,,,published,2026-09-22T19:59:35Z,2026-09-22,2026-12-22,11,2026-09-22T19:59:34Z,2026-09-23T01:27:27Z
6,npr,NPR,public_media,US,https://www.npr.org/,,,published,2026-09-22T19:59:36Z,2026-09-22,2026-12-22,9,2026-09-22T19:59:35Z,2026-09-22T21:25:17Z
7,pbs,PBS,public_media,US,https://www.pbs.org/,,,published,2026-09-22T19:59:38Z,2026-09-22,2026-12-22,9,2026-09-22T19:59:37Z,2026-09-22T21:25:19Z
8,voice-of-america,Voice of America,public_media,US,https://www.voanews.com/,,,published,2026-09-22T19:59:39Z,2026-09-22,2026-12-22,11,2026-09-22T19:59:38Z,2026-09-23T01:27:24Z
9,abc-news,ABC News,broadcaster,US,https://abcnews.go.com/,,,published,2026-09-22T19:59:41Z,2026-09-22,2026-12-22,9,2026-09-22T19:59:40Z,2026-09-22T21:25:22Z
10,cbs-news,CBS News,broadcaster,US,https://www.cbsnews.com/,,,published,2026-09-22T19:59:42Z,2026-09-22,2026-12-22,9,2026-09-22T19:59:41Z,2026-09-22T21:25:24Z
11,military-times,Military Times / Defense News,digital,US,https://www.militarytimes.com/,,,published,2026-09-22T19:59:44Z,2026-09-22,2026-12-22,9,2026-09-22T19:59:43Z,2026-09-22T21:25:26Z
12,el-faro,El Faro,digital,SV,https://elfaro.net/,,,published,2026-09-22T19:59:45Z,2026-09-22,2026-12-22,9,2026-09-22T19:59:45Z,2026-09-22T21:25:27Z
13,apple-daily,Apple Daily,newspaper,HK,https://en.wikipedia.org/wiki/Apple_Daily,,,published,2026-09-22T19:59:47Z,2026-09-22,2026-12-22,12,2026-09-22T19:59:46Z,2026-09-23T01:26:02Z
14,next-magazine,Next Magazine,digital,HK,https://en.wikipedia.org/wiki/Next_Magazine_(Hong_Kong),,,published,2026-09-22T19:59:48Z,2026-09-22,2026-12-22,9,2026-09-22T19:59:47Z,2026-09-22T21:25:30Z
15,the-nation,The Nation,newspaper,US,https://www.thenation.com/,,,published,2026-09-22T19:59:50Z,2026-09-22,2026-12-22,9,2026-09-22T19:59:49Z,2026-09-22T21:25:32Z
16,bbc,BBC,broadcaster,GB,https://www.bbc.com/,,,published,2026-09-22T19:59:51Z,2026-09-22,2026-12-22,12,2026-09-22T19:59:50Z,2026-09-23T01:26:07Z
17,indian-express,The Indian Express,newspaper,IN,https://indianexpress.com/,,,published,2026-09-22T19:59:52Z,2026-09-22,2026-12-22,9,2026-09-22T19:59:52Z,2026-09-22T21:25:35Z
18,hindustan-times,Hindustan Times,newspaper,IN,https://www.hindustantimes.com/,,,published,2026-09-22T19:59:54Z,2026-09-22,2026-12-22,9,2026-09-22T19:59:53Z,2026-09-22T21:25:36Z
19,the-masses,The Masses,magazine,US,,,,published,2026-09-22T22:48:50Z,2026-09-22,2026-12-22,1,2026-09-22T22:48:49Z,2026-09-22T22:48:50Z
20,milwaukee-leader,The Milwaukee Leader,newspaper,US,,,,published,2026-09-22T22:48:52Z,2026-09-22,2026-12-22,1,2026-09-22T22:48:51Z,2026-09-22T22:48:52Z
21,new-york-times-historical,The New York Times,newspaper,US,,,,published,2026-09-22T22:48:53Z,2026-09-22,2026-12-22,1,2026-09-22T22:48:52Z,2026-09-22T22:48:53Z
22,washington-post-historical,The Washington Post,newspaper,US,,,,published,2026-09-22T22:48:55Z,2026-09-22,2026-12-22,1,2026-09-22T22:48:54Z,2026-09-22T22:48:55Z
23,buenos-aires-herald,Buenos Aires Herald,newspaper,AR,,,,published,2026-09-22T22:48:56Z,2026-09-22,2026-12-22,1,2026-09-22T22:48:56Z,2026-09-22T22:48:56Z
24,la-opinion-argentina,La Opinión,newspaper,AR,,,,published,2026-09-22T22:48:58Z,2026-09-22,2026-12-22,1,2026-09-22T22:48:57Z,2026-09-22T22:48:58Z
25,radio-haiti-inter,Radio Haiti-Inter,broadcaster,HT,,,,published,2026-09-22T22:49:00Z,2026-09-22,2026-12-22,1,2026-09-22T22:48:59Z,2026-09-22T22:49:00Z
26,manila-times,Manila Times,newspaper,PH,,,,published,2026-09-22T22:50:38Z,2026-09-22,2026-12-22,1,2026-09-22T22:50:37Z,2026-09-22T22:50:38Z
27,philippines-free-press,Philippines Free Press,magazine,PH,,,,published,2026-09-22T22:50:40Z,2026-09-22,2026-12-22,1,2026-09-22T22:50:39Z,2026-09-22T22:50:40Z
28,al-ahram,Al-Ahram,newspaper,EG,,,,published,2026-09-22T22:50:41Z,2026-09-22,2026-12-22,1,2026-09-22T22:50:40Z,2026-09-22T22:50:41Z
